Basis,EZPE,U,H,G,E,boltz_G,boltz_E
6-31G(d), -796.176267, -796.159886, -796.158942, -796.223877, -796.4364132,1.7051979693793956e-20,1.0912113693883941e-23
6-31G(dp), -796.210993, -796.194631, -796.193686, -796.258441, -796.4706463,8.365311962774758e-21,7.491313228390373e-24
6-31+G(dp), -796.240662, -796.224149, -796.223205, -796.288375, -796.4995684,4.9011556747394125e-19,4.064371201728101e-22
6-311G(dp), -796.407324, -796.390933, -796.389989, -796.454483, -796.6659739,7.279115300645334e-20,9.03907878357162e-23
6-311++G(dp), -796.423066, -796.406547, -796.405603, -796.470792, -796.6812541,1.130127171531789e-18,8.266745115863098e-22
6-311G(2df2pd), -796.459974, -796.443502, -796.442558, -796.507941, -796.7186817,8.161842627258701e-19,4.899236520118009e-22
6-311++G(2df2pd), -796.473570, -796.457031, -796.456087, -796.521934, -796.7320406,1.1989749318385629e-17,5.4049637426599085e-21
