Basis,EZPE,U,H,G,E,boltz_G,boltz_E
6-31G(d), -796.201842, -796.186156, -796.185212, -796.247786, -796.462151,1.699307530952575e-09,7.54538454125777e-12
6-31G(dp), -796.237913, -796.222247, -796.221303, -796.283862, -796.4972325,4.135441717761159e-09,1.2723515585615361e-11
6-31+G(dp), -796.265684, -796.249934, -796.248989, -796.311766, -796.5245928,2.821681131609575e-08,1.3200524992606458e-10
6-311G(dp), -796.432335, -796.416627, -796.415683, -796.478290, -796.6909262,6.5110982717626085e-09,2.7199124987975055e-11
6-311++G(dp), -796.447138, -796.431365, -796.430421, -796.493130, -796.7054901,2.1327552661956834e-08,1.1648140697279244e-10
6-311G(2df2pd), -796.484108, -796.468437, -796.467493, -796.530035, -796.7428304,1.189483104887001e-08,6.29348443567054e-11
6-311++G(2df2pd), -796.496659, -796.480939, -796.479995, -796.542743, -796.75528,4.479824159025242e-08,2.6501103432994706e-10
