Basis,EZPE,U,H,G,E,boltz_G,boltz_E,CCS
6-31G(d), -796.224820, -796.209786, -796.208842, -796.266823, -796.4863133,0.9717988367119571,0.9833323734329973,1.514797e+02
6-31G(dp), -796.260064, -796.245018, -796.244074, -796.302062, -796.5209031,0.9745268144325386,0.9850011555667226,1.510200e+02
6-31+G(dp), -796.285818, -796.270598, -796.269654, -796.328157, -796.5460574,0.9786170959732231,0.9877063871422823,1.532678e+02
6-311G(dp), -796.453952, -796.438833, -796.437889, -796.496064, -796.7138823,0.9771467121062655,0.9878792713796166,1.508214e+02
6-311++G(dp), -796.467459, -796.452237, -796.451293, -796.509782, -796.7270718,0.9752361388021643,0.986645218758773,1.529324e+02
6-311G(2df2pd), -796.505019, -796.489872, -796.488928, -796.547241, -796.764995,0.9780821144448043,0.9884126120575909,1.486232e+02
6-311++G(2df2pd), -796.516294, -796.501069, -796.500124, -796.558697, -796.7760862,0.9780010105925953,0.9872491759037842,1.503550e+02
