Basis,EZPE,U,H,G,E,boltz_G,boltz_E,CCS,CCS_G,CCS_E
6-31G(d),-796.185664,-796.169165,-796.16822,-796.233301,-796.4457615,3.689398708797728e-16,2.179046690921687e-19,171.7466,6.336416842803999e-14,3.742438604070506e-17
6-31G(dp),-796.22015,-796.203663,-796.202719,-796.267655,-796.4797816,1.4489713187018718e-16,1.1938023461858207e-19,170.6999,2.4733925920527766e-14,2.03781941113685e-17
6-31+G(dp),-796.250549,-796.23401,-796.233066,-796.298188,-796.5096598,1.6011244632276994e-14,1.783150995507335e-17,169.5665,2.7149707129389967e-12,3.023626732796945e-15
6-311G(dp),-796.416337,-796.399837,-796.398893,-796.463906,-796.6749747,1.5732558971511077e-15,1.2491846360798396e-18,169.7701,2.670918109849333e-13,2.12074200585738e-16
6-311++G(dp),-796.432583,-796.416027,-796.415083,-796.480254,-796.690926,2.5455912475820732e-14,2.3256964795376404e-17,169.6658,4.318997754940105e-12,3.945911537579374e-15
6-311G(2df2pd),-796.46834,-796.45179,-796.450845,-796.516393,-796.7270521,6.307169183933202e-15,3.472461595858358e-18,165.8222,1.0458686698520082e-12,5.758112212407439e-16
6-311++G(2df2pd),-796.482128,-796.465582,-796.464637,-796.529955,-796.74076,5.869348921738227e-14,5.5443041092699227e-17,169.4224,9.943991807583027e-12,9.393293085223727e-15
