Basis,EZPE,U,H,G,E,boltz_G,boltz_E,CCS,CCS_G,CCS_E
6-31G(d),-796.203456,-796.187895,-796.186951,-796.248956,-796.4637515,5.867991291733117e-09,4.110884620666475e-11,163.8532,9.614891507226047e-07,6.73581599926988e-09
6-31G(dp),-796.239595,-796.224031,-796.223086,-796.285227,-796.4988007,1.7556676066917226e-08,6.698885478871315e-11,163.2425,2.8659956928537353e-06,1.0935428127846507e-08
6-31+G(dp),-796.267546,-796.251859,-796.250915,-796.313191,-796.5263709,1.2765246984612754e-07,8.680480516461213e-10,162.5763,2.0753266233444984e-05,1.411240404588353e-07
6-311G(dp),-796.433854,-796.418234,-796.41729,-796.479426,-796.6923622,2.1688585098656683e-08,1.2449054984616126e-10,162.6329,3.5272774914913226e-06,2.024625914407576e-08
6-311++G(dp),-796.449219,-796.433519,-796.432575,-796.494777,-796.707484,1.2206344628340526e-07,9.626765537764662e-10,161.9244,1.9765050301372627e-05,1.55880823364322e-07
6-311G(2df2pd),-796.486185,-796.470576,-796.469632,-796.532036,-796.7448078,9.904856105172625e-08,5.111221509799496e-10,159.6049,1.580863568180466e-05,8.157759979493974e-08
6-311++G(2df2pd),-796.499506,-796.483877,-796.482933,-796.545042,-796.7581448,5.114878385763812e-07,5.5095325629578654e-09,160.9225,8.230990170330771e-05,8.866077538625872e-07
