Basis,EZPE,U,H,G,E,boltz_G,boltz_E,CCS
6-31G(d), -796.199828, -796.184265, -796.183321, -796.244053, -796.460418,3.258638730378332e-11,1.2035814586714667e-12,1.614349e+02
6-31G(dp), -796.234880, -796.219321, -796.218377, -796.279060, -796.4947879,2.5558194314115477e-11,9.55112670404031e-13,1.604088e+02
6-31+G(dp), -796.263133, -796.247486, -796.246542, -796.307466, -796.5226657,2.967861954832807e-10,1.7143378539660396e-11,1.620013e+02
6-311G(dp), -796.429792, -796.414166, -796.413222, -796.474144, -796.6887713,8.061805447781764e-11,2.775036762417956e-12,1.593931e+02
6-311++G(dp), -796.445221, -796.429547, -796.428603, -796.489588, -796.7039879,5.006890681381175e-10,2.372587109639742e-11,1.667878e+02
6-311G(2df2pd), -796.481700, -796.466118, -796.465174, -796.525967, -796.7408612,1.5996225071663889e-10,7.816813399667783e-12,1.577671e+02
6-311++G(2df2pd), -796.495149, -796.479543, -796.478599, -796.539430, -796.7543,1.3403909126153026e-09,9.385325016276328e-11,1.598169e+02
