basis_set,G,E
0,0.005141595928216715,0.0005369589123124478
1,0.004847923384529415,0.0004875178300661489
2,0.007539802783387963,0.0008465009947627567
3,0.013354705888988624,0.0014834247866845562
4,0.023701748062409402,0.003822089249720604
5,0.034589307108267735,0.006032227902943224
6,0.04862606211864467,0.007396305632866054
