Basis,EZPE,U,H,G,E
6-31G(d), -796.239277, -796.222743, -796.221799, -796.287589, -796.4996089
6-31G(dp), -796.273777, -796.257259, -796.256315, -796.321941, -796.5336526
6-31+G(dp), -796.304033, -796.287465, -796.286520, -796.352302, -796.5633906
6-311G(dp), -796.469994, -796.453474, -796.452530, -796.518029, -796.7288832
6-311G(2df2pd), -796.522107, -796.506453, -796.505509, -796.568148, -796.7810432
6-311++G(dp), -796.486152, -796.469570, -796.468626, -796.534401, -796.7447446
6-311++G(2df2pd), , , , , -796.7946407
