Basis,EZPE,U,H,G,E
6-31G(d), -796.264269, -796.248847, -796.247903, -796.308870, -796.5259583
6-31G(dp), -796.297707, -796.282297, -796.281353, -796.343358, -796.5578219
6-31+G(dp), -796.324905, -796.309313, -796.308368, -796.371085, -796.5843731
6-311G(dp), -796.493917, -796.478478, -796.477534, -796.538297, -796.7541039
6-311G(2df2pd), -796.546064, -796.530604, -796.529660, -796.591018, -796.8063074
6-311++G(dp), -796.506629, -796.491043, -796.490099, -796.552697, -796.7656683
6-311++G(2df2pd), 1, 1, 1, 1, -796.8164221
