Basis,EZPE,U,H,G,E
6-31G(d), -796.237220, -796.220961, -796.220017, -796.284499, -796.4978032
6-31G(dp), -796.271824, -796.255565, -796.254621, -796.318992, -796.531854
6-31+G(dp), -796.301023, -796.284694, -796.283750, -796.348430, -796.5605563
6-311G(dp), -796.467214, -796.450929, -796.449985, -796.514432, -796.7262652
6-311G(2df2pd), -796.519868, -796.504433, -796.503489, -796.565398, -796.7789817
6-311++G(dp), -796.483248, -796.466912, -796.465968, -796.530632, -796.7420215
6-311++G(2df2pd), 1, 1, 1, 1, 1
