Basis,EZPE,U,H,G,E
6-31G(d), -795.884168, -795.868020, -795.867076, -795.931167, -796.1298692
6-31G(dp), -795.916527, -795.900354, -795.899410, -795.963528, -796.1617991
6-31+G(dp), -795.955390, -795.939104, -795.938160, -796.003074, -796.2001253
6-311G(dp), -796.116876, -796.100672, -796.099728, -796.163922, -796.3611364
6-311G(2df2pd), -796.168869, -796.153548, -796.152604, -796.213631, -796.413227
6-311++G(dp), , , , ,
6-311++G(2df2pd), -796.188140, -796.171882, -796.170938, -796.236009, -796.4323934
