Basis,EZPE,U,H,G,E
6-31G(d), -795.889911, -795.874108, -795.873164, -795.935488, -796.1363907
6-31G(dp), -795.922275, -795.906445, -795.905501, -795.967819, -796.1683196
6-31+G(dp), -795.960274, -795.944301, -795.943357, -796.006368, -796.2055321
6-311G(dp), -796.122247, -796.106359, -796.105415, -796.167966, -796.3672324
6-311G(2df2pd), -796.173887, -796.157943, -796.156998, -796.220492, -796.4189435
6-311++G(dp), -796.143369, -796.127388, -796.126443, -796.189428, -796.3879609
6-311++G(2df2pd), -796.192845, -796.176867, -796.175923, -796.239339, -796.4377201
