basis_set,G,E
0,3.860035326450349e-18,7.270638980375444e-21
1,1.7033234289544195e-18,3.9412893805440326e-21
2,7.6255238058357e-17,2.0060180272962513e-19
3,9.712870906182972e-18,1.8475457608403422e-20
4,1.3796060170417475e-16,3.0578342841387885e-19
5,6.406041535460746e-17,8.89737246480739e-20
6,4.828388701487297e-16,2.3604919602645758e-18
