basis_set,G,E
0,5.340507648771932e-08,2.596073678255364e-09
1,4.8294959109331175e-08,7.119709692936974e-24
2,3.309923057471608e-07,1.6448083814554044e-08
3,1.2956567553648266e-07,4.624980122064109e-09
4,6.900304531874005e-07,2.935841613896438e-08
5,1.2862035546922974e-07,8.303922677058609e-09
6,5.388201352226096e-07,2.317842528366475e-08
