basis_set,G,E
0,2.571844525265172e-07,1.9293935750422656e-09
1,1.750975092979767e-07,2.0009524908286637e-09
2,2.903009941194106e-06,2.6933839381851144e-08
3,5.849129299149728e-07,5.674044711873193e-09
4,5.943997647024958e-06,5.779179370449969e-08
5,1.0799589318241635e-07,1.7268142437843462e-08
6,1.691735363907863e-05,8.214322919053579e-08
