isomer,G,E
1,0.3982336218252055,0.49736155310835467
1,0.00036492134493704885,1.030239285701888e-05
1,1.9489376506618393e-05,1.2243175245074404e-06
1,0.0001261259013903226,4.5276673453873874e-06
1,0.3422597173089872,0.22262138143369492
1,2.8265924151187333e-05,7.73086441674875e-06
1,1.2878332306393858e-06,2.3497751725710952e-08
1,1.736816538463244e-10,1.0417113914048823e-11
1,1.1023256382289782e-05,2.3359157621731155e-06
1,0.004847923384529415,0.0004875178300661489
1,2.4409770479452724e-08,8.647891117563988e-09
1,2.4936555956150756e-07,9.331238407799985e-09
1,0.001244218246823082,0.00023204169708709353
1,0.21070213938704138,0.27416108512567455
1,4.436950654011154e-07,1.4090652294483419e-08
1,0.04216054856673836,0.00511024406926618
