Basis,EZPE,U,H,G,E
6-31G(d), -796.199828, -796.184265, -796.183321, -796.244053, -796.460418
6-31G(d,p), -796.234880, -796.219321, -796.218377, -796.279060, -796.4947879
6-31+G(d,p), -796.263133, -796.247486, -796.246542, -796.307466, -796.5226657
6-311G(d,p), -796.429792, -796.414166, -796.413222, -796.474144, -796.6887713
6-311++G(d,p), -796.445221, -796.429547, -796.428603, -796.489588, -796.7039879
6-311G(2df,2pd), -796.481700, -796.466118, -796.465174, -796.525967, -796.7408612
6-311++G(2df,2pd), -796.495149, -796.479543, -796.478599, -796.539430, -796.7543
