Basis,EZPE,U,H,G,E
6-31G(d), -796.182999, -796.166840, -796.165896, -796.229376, -796.4433455
6-31G(d,p), -796.217587, -796.201433, -796.200489, -796.263793, -796.4773961
6-31+G(d,p), -796.246581, -796.230341, -796.229397, -796.293045, -796.5058166
6-311G(d,p), -796.412996, -796.396821, -796.395877, -796.459221, -796.6718265
6-311++G(d,p), -796.428703, -796.412439, -796.411495, -796.475200, -796.6871597
6-311G(2df,2pd), -796.465493, -796.449274, -796.448329, -796.512087, -796.7244557
6-311++G(2df,2pd), -796.478989, -796.462753, -796.461808, -796.525651, -796.7378358
