Basis,EZPE,U,H,G,E
6-31G(d), -796.209879, -796.194323, -796.193379, -796.255098, -796.4701402
6-31G(d,p), -796.246215, -796.230700, -796.229756, -796.291370, -796.5053871
6-31+G(d,p), -796.273538, -796.257945, -796.257001, -796.318835, -796.5324649
6-311G(d,p), -796.439976, -796.424389, -796.423445, -796.485271, -796.698482
6-311++G(d,p), -796.454599, -796.438967, -796.438022, -796.499921, -796.7129658
6-311G(2df,2pd), -796.491643, -796.476060, -796.475116, -796.537256, -796.7502262
6-311++G(2df,2pd), -796.504146, -796.488562, -796.487618, -796.549556, -796.7627487
