Basis,EZPE,U,H,G,E
6-31G(d), -796.224820, -796.209786, -796.208842, -796.266823, -796.4863133
6-31G(d,p), -796.260064, -796.245018, -796.244074, -796.302062, -796.5209031
6-31+G(d,p), -796.285818, -796.270598, -796.269654, -796.328157, -796.5460574
6-311G(d,p), -796.453952, -796.438833, -796.437889, -796.496064, -796.7138823
6-311++G(d,p), -796.467459, -796.452237, -796.451293, -796.509782, -796.7270718
6-311G(2df,2pd), -796.505019, -796.489872, -796.488928, -796.547241, -796.764995
6-311++G(2df,2pd), -796.516294, -796.501069, -796.500124, -796.558697, -796.7760862
