Basis,EZPE,U,H,G,E
6-31G(d), -795.890220, -795.874493, -795.873549, -795.935839, -796.1365375
6-31G(dp), -795.922528, -795.906781, -795.905836, -795.968173, -796.1684211
6-31+G(dp), -795.960600, -795.944737, -795.943793, -796.006732, -796.2057854
6-311G(dp), -796.123064, -796.107298, -796.106354, -796.168753, -796.3679855
6-311G(2df2pd), -796.174169, -796.158368, -796.157424, -796.219967, -796.419202
6-311++G(dp), -796.143331, -796.127453, -796.126509, -796.189560, -796.387832
6-311++G(2df2pd), -796.191925, -796.176059, -796.175115, -796.238109, -796.4366979
