Basis,EZPE,U,H,G,E
6-31G(d), -795.883435, -795.867351, -795.866407, -795.930188, -796.1294166
6-31G(dp), -795.915770, -795.899653, -795.898709, -795.962637, -796.1613599
6-31+G(dp), -795.954706, -795.938469, -795.937525, -796.001739, -796.1995742
6-311G(dp), -796.116422, -796.100236, -796.099292, -796.163532, -796.360901
6-311G(2df2pd), -796.167597, -796.151429, -796.150485, -796.214394, -796.4122511
6-311++G(dp), -796.137685, -796.121422, -796.120478, -796.184884, -796.3818469
6-311++G(2df2pd), -796.186281, -796.170037, -796.169092, -796.233393, -796.4307159
