basis_set,G,E
0,5.7729388342881895e-18,1.6860499768038682e-20
1,2.4237180366305737e-18,9.540404556937243e-21
2,6.895539682031473e-17,3.0426970051837017e-19
3,1.100599672746085e-17,4.45048768171795e-20
4,1.2046840702872025e-16,4.305253920993881e-19
5,6.591893065264293e-17,2.2194975186766703e-19
6,6.147317311530926e-16,2.5042135386537615e-18
