basis_set,G,E
0,1.6037669754777222e-13,2.3843070357639818e-14
1,7.21240407509839e-21,6.48834492316756e-24
2,1.049661427538618e-18,8.386825022380333e-22
3,8.808080753008517e-20,8.283596590930671e-23
4,2.4152274056376558e-18,1.6658443860954821e-21
5,1.2667602187676977e-18,6.190784781982367e-22
6,1.0625965461687054e-17,1.1337759314928278e-20
