basis_set,G,E
0,1.699307530952575e-09,7.54538454125777e-12
1,4.135441717761159e-09,1.2723515585615361e-11
2,2.821681131609575e-08,1.3200524992606458e-10
3,6.5110982717626085e-09,2.7199124987975055e-11
4,2.1327552661956834e-08,1.1648140697279244e-10
5,1.189483104887001e-08,6.29348443567054e-11
6,4.479824159025242e-08,2.6501103432994706e-10
