basis_set,G,E
0,9.553325351348728e-22,5.0383918140745007e-23
1,1.4205384541570198e-11,3.693403619578109e-12
2,2.193544011264518e-07,3.994422872541044e-08
3,2.9298788191288305e-11,6.6263251593628886e-12
4,3.7575690812774583e-07,6.983651617711171e-08
5,1.906386575851447e-20,1.0482388237975062e-21
6,7.875099984083797e-07,1.8725385562944823e-07
