isomer,G,E
5,0.2432625532459238,0.39026366941225743
5,0.002624529035532716,6.049206433016675e-05
5,7.063507248539807e-05,6.2986068361021504e-06
5,0.00038259934553836427,1.5457994999211822e-05
5,0.39851275139600545,0.2435339275870729
5,0.00011983063195269259,2.3678553973100464e-05
5,2.2146445757662327e-05,2.086740497814641e-07
5,9.947245785280418e-10,5.947265352215369e-11
5,3.39382978981916e-05,8.254415273501898e-06
5,0.013354705888988624,0.0014834247866845562
5,3.9260397028996386e-08,1.3230904769444119e-08
5,5.941457646014805e-07,3.459450327309224e-08
5,0.0033273212073953395,0.0005212508553751053
5,0.2724563029138524,0.3505941069761212
5,3.117571230435584e-06,9.177552117082961e-08
5,0.06582893454655275,0.01348909041262501
